approach,scenario,run,failure_time,orphan_total,successful_realloc,failed_realloc,tasks_quorum_ok,tasks_quorum_fail,connectivity_index
rl3,cenario2_tempo_aleatorio/180-600s_10percent,27,523.946,24,22,2,11,1,0.9167
rl3,cenario2_tempo_aleatorio/180-600s_10percent,28,476.887,28,28,0,11,1,1.0
rl3,cenario2_tempo_aleatorio/180-600s_10percent,29,418.612,29,29,0,11,1,1.0
rl3,cenario2_tempo_aleatorio/180-600s_10percent,30,393.718,30,29,1,9,11,0.9667
rl3,cenario2_tempo_aleatorio/180-600s_10percent,31,594.999,17,16,1,11,0,0.9412
rl3,cenario2_tempo_aleatorio/180-600s_10percent,32,381.027,10,9,1,11,1,0.9
rl3,cenario2_tempo_aleatorio/180-600s_10percent,33,228.005,11,10,1,10,5,0.9091
rl3,cenario2_tempo_aleatorio/180-600s_10percent,34,407.042,14,14,0,11,1,1.0
rl3,cenario2_tempo_aleatorio/180-600s_10percent,35,573.305,31,30,1,10,5,0.9677
rl3,cenario2_tempo_aleatorio/180-600s_20percent,1,283.786,21,21,0,11,0,1.0
rl3,cenario2_tempo_aleatorio/180-600s_20percent,2,454.434,7,6,1,9,11,0.8571
rl3,cenario2_tempo_aleatorio/180-600s_20percent,3,555.335,13,12,1,7,24,0.9231
rl3,cenario2_tempo_aleatorio/180-600s_20percent,4,224.794,5,5,0,10,5,1.0
rl3,cenario2_tempo_aleatorio/180-600s_20percent,5,246.682,12,11,1,11,1,0.9167
rl3,cenario2_tempo_aleatorio/180-600s_20percent,6,194.272,24,23,1,10,5,0.9583
rl3,cenario2_tempo_aleatorio/180-600s_20percent,7,395.181,11,10,1,11,0,0.9091
rl3,cenario2_tempo_aleatorio/180-600s_20percent,8,336.076,31,30,1,10,5,0.9677
rl3,cenario2_tempo_aleatorio/180-600s_20percent,9,509.431,29,24,5,6,30,0.8276
rl3,cenario2_tempo_aleatorio/180-600s_20percent,10,539.214,41,39,2,11,0,0.9512
rl3,cenario2_tempo_aleatorio/180-600s_20percent,11,319.3,13,12,1,11,0,0.9231
rl3,cenario2_tempo_aleatorio/180-600s_20percent,12,513.551,48,43,5,10,5,0.8958
rl3,cenario2_tempo_aleatorio/180-600s_20percent,13,300.22,19,19,0,11,0,1.0
rl3,cenario2_tempo_aleatorio/180-600s_20percent,14,235.82,26,26,0,11,1,1.0
rl3,cenario2_tempo_aleatorio/180-600s_20percent,15,559.017,28,27,1,9,11,0.9643
rl3,cenario2_tempo_aleatorio/180-600s_20percent,16,370.469,24,21,3,11,1,0.875
rl3,cenario2_tempo_aleatorio/180-600s_20percent,17,582.245,50,48,2,11,1,0.96
rl3,cenario2_tempo_aleatorio/180-600s_20percent,18,231.073,45,44,1,8,18,0.9778
rl3,cenario2_tempo_aleatorio/180-600s_20percent,19,522.265,34,34,0,10,5,1.0
rl3,cenario2_tempo_aleatorio/180-600s_20percent,20,606.452,13,12,1,10,5,0.9231
rl3,cenario2_tempo_aleatorio/180-600s_20percent,21,502.054,7,7,0,11,1,1.0
rl3,cenario2_tempo_aleatorio/180-600s_20percent,22,266.051,10,10,0,11,1,1.0
rl3,cenario2_tempo_aleatorio/180-600s_20percent,23,407.86,35,30,5,11,0,0.8571
rl3,cenario2_tempo_aleatorio/180-600s_20percent,24,376.281,49,45,4,10,5,0.9184
rl3,cenario2_tempo_aleatorio/180-600s_20percent,25,218.113,17,16,1,9,12,0.9412
rl3,cenario2_tempo_aleatorio/180-600s_20percent,26,252.81,23,22,1,11,0,0.9565
rl3,cenario2_tempo_aleatorio/180-600s_20percent,27,290.991,24,24,0,9,11,1.0
rl3,cenario2_tempo_aleatorio/180-600s_20percent,28,601.964,9,8,1,10,5,0.8889
rl3,cenario2_tempo_aleatorio/180-600s_20percent,29,273.055,20,20,0,11,1,1.0
rl3,cenario2_tempo_aleatorio/180-600s_20percent,30,360.105,24,22,2,10,5,0.9167
rl3,cenario2_tempo_aleatorio/180-600s_20percent,31,346.574,40,40,0,10,5,1.0
rl3,cenario2_tempo_aleatorio/180-600s_20percent,32,350.712,50,47,3,11,1,0.94
rl3,cenario2_tempo_aleatorio/180-600s_20percent,33,218.576,19,18,1,11,1,0.9474
rl3,cenario2_tempo_aleatorio/180-600s_20percent,34,221.559,13,13,0,11,0,1.0
rl3,cenario2_tempo_aleatorio/180-600s_20percent,35,533.181,56,53,3,11,1,0.9464
rl3,cenario2_tempo_aleatorio/180-600s_30percent,1,436.074,22,21,1,11,0,0.9545
rl3,cenario2_tempo_aleatorio/180-600s_30percent,2,238.403,42,41,1,9,11,0.9762
rl3,cenario2_tempo_aleatorio/180-600s_30percent,3,376.53,38,36,2,11,0,0.9474
rl3,cenario2_tempo_aleatorio/180-600s_30percent,4,517.838,48,46,2,10,5,0.9583
rl3,cenario2_tempo_aleatorio/180-600s_30percent,5,504.541,44,40,4,10,5,0.9091
rl3,cenario2_tempo_aleatorio/180-600s_30percent,6,447.905,52,52,0,10,5,1.0
rl3,cenario2_tempo_aleatorio/180-600s_30percent,7,609.707,65,64,1,11,1,0.9846
rl3,cenario2_tempo_aleatorio/180-600s_30percent,8,216.947,22,20,2,9,11,0.9091
rl3,cenario2_tempo_aleatorio/180-600s_30percent,9,524.414,28,27,1,11,0,0.9643
rl3,cenario2_tempo_aleatorio/180-600s_30percent,10,571.505,42,40,2,11,1,0.9524
rl3,cenario2_tempo_aleatorio/180-600s_30percent,11,592.298,54,53,1,11,0,0.9815
rl3,cenario2_tempo_aleatorio/180-600s_30percent,12,583.135,48,47,1,9,11,0.9792
rl3,cenario2_tempo_aleatorio/180-600s_30percent,13,261.695,61,58,3,10,5,0.9508
rl3,cenario2_tempo_aleatorio/180-600s_30percent,14,228.931,19,19,0,11,0,1.0
rl3,cenario2_tempo_aleatorio/180-600s_30percent,15,586.334,66,63,3,10,5,0.9545
rl3,cenario2_tempo_aleatorio/180-600s_30percent,16,486.129,72,70,2,11,0,0.9722
rl3,cenario2_tempo_aleatorio/180-600s_30percent,17,561.895,76,74,2,11,0,0.9737
rl3,cenario2_tempo_aleatorio/180-600s_30percent,18,310.637,20,20,0,10,5,1.0
rl3,cenario2_tempo_aleatorio/180-600s_30percent,19,314.954,39,39,0,10,5,1.0
rl3,cenario2_tempo_aleatorio/180-600s_30percent,20,323.766,36,34,2,11,1,0.9444
rl3,cenario2_tempo_aleatorio/180-600s_30percent,21,544.62,50,48,2,11,0,0.96
