approach,scenario,run,num_leader_failures,orphan_total,rl_successful_realloc,rl_failed_realloc,realloc_rate,rl_new_clusters,rl_realloc_existing
rl1,cenario2_tempo_aleatorio/180-600s_10percent,30,1,11,10,1,0.9091,0,10
rl1,cenario2_tempo_aleatorio/180-600s_10percent,31,1,25,22,3,0.88,0,22
rl1,cenario2_tempo_aleatorio/180-600s_10percent,32,1,23,22,1,0.9565,0,22
rl1,cenario2_tempo_aleatorio/180-600s_10percent,33,1,12,11,1,0.9167,0,11
rl1,cenario2_tempo_aleatorio/180-600s_10percent,34,1,30,30,0,1.0,0,30
rl1,cenario2_tempo_aleatorio/180-600s_10percent,35,1,25,23,2,0.92,0,23
rl1,cenario2_tempo_aleatorio/180-600s_20percent,1,2,20,16,4,0.8,0,16
rl1,cenario2_tempo_aleatorio/180-600s_20percent,2,1,25,25,0,1.0,0,25
rl1,cenario2_tempo_aleatorio/180-600s_20percent,3,2,33,31,2,0.9394,0,31
rl1,cenario2_tempo_aleatorio/180-600s_20percent,4,2,37,37,0,1.0,0,37
rl1,cenario2_tempo_aleatorio/180-600s_20percent,5,1,22,20,2,0.9091,0,20
rl1,cenario2_tempo_aleatorio/180-600s_20percent,6,1,10,10,0,1.0,0,10
rl1,cenario2_tempo_aleatorio/180-600s_20percent,7,1,28,26,2,0.9286,0,26
rl1,cenario2_tempo_aleatorio/180-600s_20percent,8,2,31,29,2,0.9355,0,29
rl1,cenario2_tempo_aleatorio/180-600s_20percent,9,2,53,51,2,0.9623,0,51
rl1,cenario2_tempo_aleatorio/180-600s_20percent,10,1,31,29,2,0.9355,0,29
rl1,cenario2_tempo_aleatorio/180-600s_20percent,11,2,41,41,0,1.0,0,41
rl1,cenario2_tempo_aleatorio/180-600s_20percent,12,1,22,18,4,0.8182,0,18
rl1,cenario2_tempo_aleatorio/180-600s_20percent,13,1,10,9,1,0.9,0,9
rl1,cenario2_tempo_aleatorio/180-600s_20percent,14,1,28,28,0,1.0,0,28
rl1,cenario2_tempo_aleatorio/180-600s_20percent,15,2,30,28,2,0.9333,0,28
rl1,cenario2_tempo_aleatorio/180-600s_20percent,16,2,25,25,0,1.0,0,25
rl1,cenario2_tempo_aleatorio/180-600s_20percent,17,2,37,33,4,0.8919,0,33
rl1,cenario2_tempo_aleatorio/180-600s_20percent,18,2,44,41,3,0.9318,0,41
rl1,cenario2_tempo_aleatorio/180-600s_20percent,19,1,17,17,0,1.0,0,17
rl1,cenario2_tempo_aleatorio/180-600s_20percent,20,1,27,27,0,1.0,0,27
rl1,cenario2_tempo_aleatorio/180-600s_20percent,21,1,15,15,0,1.0,0,15
