approach,scenario,run,tasks_dispatched,tasks_accepted,total_acceptances,tasks_quorum_ok,tasks_quorum_fail,task_success_rate,avg_accept_latency_s,median_accept_latency_s
rl3,cenario1_tempo_fixo/310s_20percent,4,19,12,63,10,9,0.5263,0.0328,0.021
rl3,cenario1_tempo_fixo/310s_20percent,5,16,12,46,10,5,0.625,0.0268,0.024
rl3,cenario1_tempo_fixo/310s_20percent,6,12,12,44,11,1,0.9167,0.0337,0.033
rl3,cenario1_tempo_fixo/310s_20percent,7,16,12,37,10,5,0.625,0.0116,0.009
rl3,cenario1_tempo_fixo/310s_20percent,8,16,12,41,10,5,0.625,0.0357,0.041
rl3,cenario1_tempo_fixo/310s_20percent,9,11,11,46,11,0,1.0,0.0221,0.02
rl3,cenario1_tempo_fixo/310s_20percent,10,16,12,44,10,5,0.625,0.0135,0.012
rl3,cenario1_tempo_fixo/310s_20percent,11,16,12,39,10,5,0.625,0.033,0.03
rl3,cenario1_tempo_fixo/310s_20percent,12,16,12,45,10,5,0.625,0.0352,0.0245
rl3,cenario1_tempo_fixo/310s_20percent,13,16,12,46,10,5,0.625,0.029,0.0235
rl3,cenario1_tempo_fixo/310s_20percent,14,18,12,56,10,8,0.5556,0.0168,0.018
rl3,cenario1_tempo_fixo/310s_20percent,15,18,12,47,10,8,0.5556,0.0216,0.02
rl3,cenario1_tempo_fixo/310s_20percent,16,16,12,44,10,6,0.625,0.0232,0.019
rl3,cenario1_tempo_fixo/310s_20percent,17,13,12,42,11,2,0.8462,0.0327,0.023
rl3,cenario1_tempo_fixo/310s_20percent,18,11,11,60,11,0,1.0,0.0144,0.009
rl3,cenario1_tempo_fixo/310s_20percent,19,12,12,60,11,1,0.9167,0.0088,0.0085
rl3,cenario1_tempo_fixo/310s_20percent,20,13,12,40,11,2,0.8462,0.0245,0.015
rl3,cenario1_tempo_fixo/310s_20percent,21,12,12,70,11,1,0.9167,0.0275,0.023
rl3,cenario1_tempo_fixo/310s_20percent,22,12,12,47,11,1,0.9167,0.0251,0.015
rl3,cenario1_tempo_fixo/310s_20percent,23,12,12,41,11,1,0.9167,0.0352,0.038
rl3,cenario1_tempo_fixo/310s_20percent,24,12,12,48,11,1,0.9167,0.0334,0.031
rl3,cenario1_tempo_fixo/310s_20percent,25,16,12,42,10,5,0.625,0.0355,0.0365
rl3,cenario1_tempo_fixo/310s_20percent,26,12,12,46,11,1,0.9167,0.0335,0.026
rl3,cenario1_tempo_fixo/310s_20percent,27,16,12,35,10,5,0.625,0.0629,0.051
rl3,cenario1_tempo_fixo/310s_20percent,28,11,11,48,11,0,1.0,0.0295,0.025
rl3,cenario1_tempo_fixo/310s_20percent,29,11,11,59,11,0,1.0,0.0109,0.008
rl3,cenario1_tempo_fixo/310s_20percent,30,11,11,73,11,0,1.0,0.0215,0.021
rl3,cenario1_tempo_fixo/310s_20percent,31,11,11,42,11,0,1.0,0.0116,0.01
rl3,cenario1_tempo_fixo/310s_20percent,32,13,12,55,11,2,0.8462,0.0492,0.032
rl3,cenario1_tempo_fixo/310s_20percent,33,27,12,66,8,18,0.2963,0.0615,0.0465
rl3,cenario1_tempo_fixo/310s_20percent,34,12,12,43,11,1,0.9167,0.0262,0.016
rl3,cenario1_tempo_fixo/310s_20percent,35,11,11,40,11,0,1.0,0.025,0.025
rl3,cenario1_tempo_fixo/310s_30percent,1,11,11,60,11,0,1.0,0.0123,0.009
rl3,cenario1_tempo_fixo/310s_30percent,2,21,12,47,9,11,0.4286,0.0362,0.022
rl3,cenario1_tempo_fixo/310s_30percent,3,11,11,48,11,0,1.0,0.0086,0.006
rl3,cenario1_tempo_fixo/310s_30percent,4,16,12,40,10,5,0.625,0.033,0.028
rl3,cenario1_tempo_fixo/310s_30percent,5,12,12,44,11,1,0.9167,0.0311,0.0315
rl3,cenario1_tempo_fixo/310s_30percent,6,27,12,51,8,18,0.2963,0.0238,0.0175
rl3,cenario1_tempo_fixo/310s_30percent,7,12,12,44,11,1,0.9167,0.0312,0.028
rl3,cenario1_tempo_fixo/310s_30percent,8,12,12,40,11,1,0.9167,0.0325,0.023
rl3,cenario1_tempo_fixo/310s_30percent,9,16,12,47,10,5,0.625,0.0251,0.0195
rl3,cenario1_tempo_fixo/310s_30percent,10,11,11,84,11,0,1.0,0.0207,0.02
rl3,cenario1_tempo_fixo/310s_30percent,11,21,12,44,9,11,0.4286,0.0377,0.027
rl3,cenario1_tempo_fixo/310s_30percent,12,21,12,43,9,11,0.4286,0.0294,0.017
rl3,cenario1_tempo_fixo/310s_30percent,13,11,11,65,11,0,1.0,0.0246,0.016
rl3,cenario1_tempo_fixo/310s_30percent,14,12,12,42,11,1,0.9167,0.0415,0.029
rl3,cenario1_tempo_fixo/310s_30percent,15,16,12,41,10,5,0.625,0.0244,0.018
rl3,cenario1_tempo_fixo/310s_30percent,16,12,12,48,11,1,0.9167,0.0129,0.011
rl3,cenario1_tempo_fixo/310s_30percent,17,21,12,47,9,11,0.4286,0.0147,0.012
rl3,cenario1_tempo_fixo/310s_30percent,18,14,12,49,11,3,0.7857,0.031,0.0365
rl3,cenario1_tempo_fixo/310s_30percent,19,14,12,41,11,3,0.7857,0.0305,0.0325
rl3,cenario1_tempo_fixo/310s_30percent,20,12,12,41,11,1,0.9167,0.0327,0.0255
rl3,cenario1_tempo_fixo/310s_30percent,21,16,12,40,10,5,0.625,0.0383,0.022
rl3,cenario1_tempo_fixo/310s_30percent,22,11,11,52,11,0,1.0,0.041,0.06
rl3,cenario1_tempo_fixo/310s_30percent,23,12,12,52,11,1,0.9167,0.0447,0.044
rl3,cenario1_tempo_fixo/310s_30percent,24,12,12,50,11,1,0.9167,0.012,0.0095
rl3,cenario1_tempo_fixo/310s_30percent,25,12,12,41,11,1,0.9167,0.0174,0.0155
rl3,cenario1_tempo_fixo/310s_30percent,26,21,12,43,9,11,0.4286,0.1416,0.019
rl3,cenario1_tempo_fixo/310s_30percent,27,12,12,50,11,1,0.9167,0.015,0.0145
rl3,cenario1_tempo_fixo/310s_30percent,28,14,12,58,11,3,0.7857,0.0209,0.0115
rl3,cenario1_tempo_fixo/310s_30percent,29,13,12,43,11,2,0.8462,0.0304,0.025
rl3,cenario1_tempo_fixo/310s_30percent,30,12,12,56,11,1,0.9167,0.0276,0.022
rl3,cenario1_tempo_fixo/310s_30percent,31,14,12,38,11,3,0.7857,0.0258,0.0215
rl3,cenario1_tempo_fixo/310s_30percent,32,27,12,54,8,18,0.2963,0.042,0.025
rl3,cenario1_tempo_fixo/310s_30percent,33,16,12,42,10,5,0.625,0.0261,0.028
rl3,cenario1_tempo_fixo/310s_30percent,34,11,11,59,11,0,1.0,0.0423,0.046
rl3,cenario1_tempo_fixo/310s_30percent,35,11,11,51,11,0,1.0,0.0361,0.038
rl3,cenario2_tempo_aleatorio/180-600s_10percent,1,21,12,49,9,11,0.4286,0.0171,0.011
rl3,cenario2_tempo_aleatorio/180-600s_10percent,2,11,11,44,11,0,1.0,0.046,0.028
rl3,cenario2_tempo_aleatorio/180-600s_10percent,3,16,12,38,10,5,0.625,0.0316,0.0275
rl3,cenario2_tempo_aleatorio/180-600s_10percent,4,16,12,43,10,5,0.625,0.0289,0.025
rl3,cenario2_tempo_aleatorio/180-600s_10percent,5,11,11,85,11,0,1.0,0.0148,0.012
rl3,cenario2_tempo_aleatorio/180-600s_10percent,6,16,12,71,10,5,0.625,0.0088,0.0065
rl3,cenario2_tempo_aleatorio/180-600s_10percent,7,11,11,41,11,0,1.0,0.0325,0.026
rl3,cenario2_tempo_aleatorio/180-600s_10percent,8,16,12,53,10,5,0.625,0.0097,0.009
rl3,cenario2_tempo_aleatorio/180-600s_10percent,9,27,12,55,8,18,0.2963,0.0511,0.0615
rl3,cenario2_tempo_aleatorio/180-600s_10percent,10,16,12,44,10,5,0.625,0.0457,0.04
rl3,cenario2_tempo_aleatorio/180-600s_10percent,11,16,12,29,10,5,0.625,0.0372,0.03
rl3,cenario2_tempo_aleatorio/180-600s_10percent,12,14,12,52,11,3,0.7857,0.0143,0.0105
rl3,cenario2_tempo_aleatorio/180-600s_10percent,13,11,11,40,11,0,1.0,0.0149,0.01
rl3,cenario2_tempo_aleatorio/180-600s_10percent,14,11,11,50,11,0,1.0,0.0154,0.012
rl3,cenario2_tempo_aleatorio/180-600s_10percent,15,12,12,43,11,1,0.9167,0.0237,0.024
rl3,cenario2_tempo_aleatorio/180-600s_10percent,16,18,12,44,10,8,0.5556,0.0528,0.033
rl3,cenario2_tempo_aleatorio/180-600s_10percent,17,11,11,63,11,0,1.0,0.0418,0.031
rl3,cenario2_tempo_aleatorio/180-600s_10percent,18,11,11,41,11,0,1.0,0.0109,0.01
rl3,cenario2_tempo_aleatorio/180-600s_10percent,19,12,12,37,11,1,0.9167,0.0357,0.037
rl3,cenario2_tempo_aleatorio/180-600s_10percent,20,12,12,52,11,1,0.9167,0.0267,0.0165
rl3,cenario2_tempo_aleatorio/180-600s_10percent,21,22,12,53,9,13,0.4091,0.0289,0.027
rl3,cenario2_tempo_aleatorio/180-600s_10percent,22,21,12,57,9,11,0.4286,0.0384,0.018
rl3,cenario2_tempo_aleatorio/180-600s_10percent,23,11,11,29,11,0,1.0,0.037,0.049
rl3,cenario2_tempo_aleatorio/180-600s_10percent,24,11,11,61,11,0,1.0,0.014,0.017
rl3,cenario2_tempo_aleatorio/180-600s_10percent,25,11,11,48,11,0,1.0,0.0195,0.018
rl3,cenario2_tempo_aleatorio/180-600s_10percent,26,37,12,64,6,30,0.1622,0.0353,0.0255
rl3,cenario2_tempo_aleatorio/180-600s_10percent,27,12,12,44,11,1,0.9167,0.0337,0.033
rl3,cenario2_tempo_aleatorio/180-600s_10percent,28,12,12,39,11,1,0.9167,0.0565,0.0615
rl3,cenario2_tempo_aleatorio/180-600s_10percent,29,12,12,42,11,1,0.9167,0.0248,0.0215
rl3,cenario2_tempo_aleatorio/180-600s_10percent,30,21,12,39,9,11,0.4286,0.0194,0.014
rl3,cenario2_tempo_aleatorio/180-600s_10percent,31,11,11,65,11,0,1.0,0.0323,0.03
rl3,cenario2_tempo_aleatorio/180-600s_10percent,32,12,12,45,11,1,0.9167,0.0133,0.0135
rl3,cenario2_tempo_aleatorio/180-600s_10percent,33,16,12,60,10,5,0.625,0.0273,0.021
rl3,cenario2_tempo_aleatorio/180-600s_10percent,34,12,12,40,11,1,0.9167,0.0307,0.0235
rl3,cenario2_tempo_aleatorio/180-600s_10percent,35,16,12,50,10,5,0.625,0.5222,0.0245
rl3,cenario2_tempo_aleatorio/180-600s_20percent,1,11,11,53,11,0,1.0,0.0138,0.013
rl3,cenario2_tempo_aleatorio/180-600s_20percent,2,21,12,44,9,11,0.4286,0.0254,0.026
rl3,cenario2_tempo_aleatorio/180-600s_20percent,3,32,12,62,7,24,0.2188,0.0236,0.018
rl3,cenario2_tempo_aleatorio/180-600s_20percent,4,16,12,46,10,5,0.625,0.0073,0.006
rl3,cenario2_tempo_aleatorio/180-600s_20percent,5,12,12,48,11,1,0.9167,0.0147,0.014
rl3,cenario2_tempo_aleatorio/180-600s_20percent,6,16,12,39,10,5,0.625,0.0294,0.024
rl3,cenario2_tempo_aleatorio/180-600s_20percent,7,11,11,42,11,0,1.0,0.0183,0.017
rl3,cenario2_tempo_aleatorio/180-600s_20percent,8,16,12,41,10,5,0.625,0.0246,0.016
rl3,cenario2_tempo_aleatorio/180-600s_20percent,9,37,11,42,6,30,0.1622,0.02,0.0125
rl3,cenario2_tempo_aleatorio/180-600s_20percent,10,11,11,44,11,0,1.0,0.0156,0.013
rl3,cenario2_tempo_aleatorio/180-600s_20percent,11,11,11,63,11,0,1.0,0.0293,0.027
rl3,cenario2_tempo_aleatorio/180-600s_20percent,12,16,12,41,10,5,0.625,0.0289,0.0245
rl3,cenario2_tempo_aleatorio/180-600s_20percent,13,11,11,25,11,0,1.0,0.0117,0.011
rl3,cenario2_tempo_aleatorio/180-600s_20percent,14,12,12,40,11,1,0.9167,0.0271,0.026
rl3,cenario2_tempo_aleatorio/180-600s_20percent,15,21,12,37,9,11,0.4286,0.0147,0.011
rl3,cenario2_tempo_aleatorio/180-600s_20percent,16,12,12,41,11,1,0.9167,0.0157,0.0155
rl3,cenario2_tempo_aleatorio/180-600s_20percent,17,12,12,45,11,1,0.9167,0.0217,0.022
rl3,cenario2_tempo_aleatorio/180-600s_20percent,18,27,12,59,8,18,0.2963,0.0605,0.0685
rl3,cenario2_tempo_aleatorio/180-600s_20percent,19,16,12,53,10,5,0.625,0.0214,0.023
rl3,cenario2_tempo_aleatorio/180-600s_20percent,20,16,12,66,10,5,0.625,0.0174,0.0125
rl3,cenario2_tempo_aleatorio/180-600s_20percent,21,12,12,42,11,1,0.9167,0.0078,0.0075
rl3,cenario2_tempo_aleatorio/180-600s_20percent,22,12,12,35,11,1,0.9167,0.0365,0.034
rl3,cenario2_tempo_aleatorio/180-600s_20percent,23,11,11,87,11,0,1.0,0.0079,0.008
rl3,cenario2_tempo_aleatorio/180-600s_20percent,24,16,12,41,10,5,0.625,0.0302,0.029
rl3,cenario2_tempo_aleatorio/180-600s_20percent,25,21,12,49,9,12,0.4286,0.0391,0.016
rl3,cenario2_tempo_aleatorio/180-600s_20percent,26,11,11,39,11,0,1.0,0.0352,0.028
rl3,cenario2_tempo_aleatorio/180-600s_20percent,27,21,12,52,9,11,0.4286,0.0287,0.025
rl3,cenario2_tempo_aleatorio/180-600s_20percent,28,16,12,41,10,5,0.625,0.0145,0.0085
rl3,cenario2_tempo_aleatorio/180-600s_20percent,29,12,12,56,11,1,0.9167,0.028,0.0345
rl3,cenario2_tempo_aleatorio/180-600s_20percent,30,16,12,45,10,5,0.625,0.0276,0.021
rl3,cenario2_tempo_aleatorio/180-600s_20percent,31,16,12,62,10,5,0.625,0.0423,0.013
rl3,cenario2_tempo_aleatorio/180-600s_20percent,32,12,12,50,11,1,0.9167,0.0352,0.0295
rl3,cenario2_tempo_aleatorio/180-600s_20percent,33,12,12,47,11,1,0.9167,0.0138,0.012
rl3,cenario2_tempo_aleatorio/180-600s_20percent,34,11,11,52,11,0,1.0,0.0192,0.022
rl3,cenario2_tempo_aleatorio/180-600s_20percent,35,12,12,53,11,1,0.9167,0.0192,0.0115
rl3,cenario2_tempo_aleatorio/180-600s_30percent,1,11,11,37,11,0,1.0,0.0351,0.034
rl3,cenario2_tempo_aleatorio/180-600s_30percent,2,21,12,34,9,11,0.4286,0.0266,0.01
rl3,cenario2_tempo_aleatorio/180-600s_30percent,3,11,11,43,11,0,1.0,0.0165,0.016
rl3,cenario2_tempo_aleatorio/180-600s_30percent,4,16,12,43,10,5,0.625,0.0406,0.011
rl3,cenario2_tempo_aleatorio/180-600s_30percent,5,16,12,39,10,5,0.625,0.0223,0.018
rl3,cenario2_tempo_aleatorio/180-600s_30percent,6,16,12,49,10,5,0.625,0.0151,0.011
rl3,cenario2_tempo_aleatorio/180-600s_30percent,7,12,12,49,11,1,0.9167,0.0194,0.02
rl3,cenario2_tempo_aleatorio/180-600s_30percent,8,21,12,57,9,11,0.4286,0.0158,0.01
rl3,cenario2_tempo_aleatorio/180-600s_30percent,9,11,11,36,11,0,1.0,0.0232,0.03
rl3,cenario2_tempo_aleatorio/180-600s_30percent,10,12,12,38,11,1,0.9167,0.0274,0.0225
rl3,cenario2_tempo_aleatorio/180-600s_30percent,11,11,11,54,11,0,1.0,0.0165,0.015
rl3,cenario2_tempo_aleatorio/180-600s_30percent,12,21,12,44,9,11,0.4286,0.0408,0.033
rl3,cenario2_tempo_aleatorio/180-600s_30percent,13,16,12,41,10,5,0.625,0.0307,0.023
rl3,cenario2_tempo_aleatorio/180-600s_30percent,14,11,11,58,11,0,1.0,0.024,0.021
rl3,cenario2_tempo_aleatorio/180-600s_30percent,15,16,12,36,10,5,0.625,0.0309,0.0235
rl3,cenario2_tempo_aleatorio/180-600s_30percent,16,11,11,35,11,0,1.0,0.0296,0.031
rl3,cenario2_tempo_aleatorio/180-600s_30percent,17,11,11,57,11,0,1.0,0.0385,0.022
rl3,cenario2_tempo_aleatorio/180-600s_30percent,18,16,12,46,10,5,0.625,0.0375,0.0385
rl3,cenario2_tempo_aleatorio/180-600s_30percent,19,16,12,64,10,5,0.625,0.015,0.016
rl3,cenario2_tempo_aleatorio/180-600s_30percent,20,12,12,66,11,1,0.9167,0.0292,0.038
rl3,cenario2_tempo_aleatorio/180-600s_30percent,21,11,11,61,11,0,1.0,0.0273,0.02
rl3,cenario2_tempo_aleatorio/180-600s_30percent,22,11,11,51,11,0,1.0,0.021,0.019
rl3,cenario2_tempo_aleatorio/180-600s_30percent,23,21,12,61,9,11,0.4286,0.0307,0.018
rl3,cenario2_tempo_aleatorio/180-600s_30percent,24,11,11,51,11,0,1.0,0.0118,0.01
rl3,cenario2_tempo_aleatorio/180-600s_30percent,25,11,11,50,11,0,1.0,0.0348,0.024
rl3,cenario2_tempo_aleatorio/180-600s_30percent,26,12,12,41,11,1,0.9167,0.0268,0.016
rl3,cenario2_tempo_aleatorio/180-600s_30percent,27,11,11,30,11,0,1.0,0.0243,0.028
rl3,cenario2_tempo_aleatorio/180-600s_30percent,28,16,12,44,10,6,0.625,0.0264,0.019
rl3,cenario2_tempo_aleatorio/180-600s_30percent,29,11,11,57,11,0,1.0,0.0235,0.011
rl3,cenario2_tempo_aleatorio/180-600s_30percent,30,16,12,55,10,5,0.625,0.0489,0.033
rl3,cenario2_tempo_aleatorio/180-600s_30percent,31,27,12,51,8,18,0.2963,0.0196,0.01
rl3,cenario2_tempo_aleatorio/180-600s_30percent,32,16,12,37,10,5,0.625,0.046,0.039
rl3,cenario2_tempo_aleatorio/180-600s_30percent,33,21,12,51,9,11,0.4286,0.0224,0.0105
rl3,cenario2_tempo_aleatorio/180-600s_30percent,34,21,12,55,9,11,0.4286,0.5783,0.018
rl3,cenario2_tempo_aleatorio/180-600s_30percent,35,12,12,39,11,1,0.9167,0.0124,0.012
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,1,11,11,51,11,0,1.0,0.0176,0.015
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,2,11,11,50,11,0,1.0,0.0198,0.015
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,3,13,12,37,11,2,0.8462,0.0679,0.022
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,4,12,12,43,11,1,0.9167,0.0206,0.017
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,5,11,11,68,11,0,1.0,0.025,0.021
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,6,12,12,42,11,1,0.9167,0.0161,0.0145
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,7,12,12,48,11,1,0.9167,0.0412,0.0445
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,8,11,11,42,11,0,1.0,0.0126,0.013
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,9,16,12,40,10,5,0.625,0.0222,0.02
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,10,37,10,43,6,30,0.1622,0.0218,0.0105
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,11,16,12,36,10,5,0.625,0.0384,0.0265
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,12,21,12,37,9,11,0.4286,0.0409,0.0365
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,13,12,12,43,11,1,0.9167,0.019,0.015
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,14,32,11,46,7,24,0.2188,0.0346,0.018
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,15,16,12,42,10,5,0.625,0.0323,0.018
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,16,11,11,50,11,0,1.0,0.0122,0.013
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,17,12,12,37,11,1,0.9167,0.0117,0.0075
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,18,27,10,51,8,18,0.2963,0.0395,0.0435
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,19,21,12,34,9,11,0.4286,0.0321,0.034
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,20,12,12,33,11,1,0.9167,0.0403,0.0435
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,21,11,11,37,11,0,1.0,0.0231,0.013
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,22,16,12,45,10,5,0.625,0.0694,0.022
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,23,21,12,45,9,11,0.4286,0.0276,0.012
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,24,16,12,48,10,5,0.625,0.0237,0.01
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,25,27,12,41,8,18,0.2963,0.0215,0.009
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,26,11,11,42,11,0,1.0,0.0254,0.024
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,27,11,11,79,11,0,1.0,0.0275,0.04
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,28,37,10,34,6,30,0.1622,0.0483,0.042
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,29,14,12,37,11,3,0.7857,0.0212,0.012
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,30,37,12,47,6,30,0.1622,0.0293,0.023
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,31,16,12,51,10,5,0.625,0.027,0.013
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,32,27,12,46,8,18,0.2963,0.0439,0.028
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,33,27,12,48,8,18,0.2963,0.0205,0.009
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,34,16,12,36,10,5,0.625,0.0408,0.05
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,35,16,11,41,10,5,0.625,0.0294,0.025
with-fail,cenario1_tempo_fixo/310s_10percent,1,21,12,29,9,11,0.4286,0.0403,0.049
with-fail,cenario1_tempo_fixo/310s_10percent,2,16,12,38,10,5,0.625,0.0391,0.03
with-fail,cenario1_tempo_fixo/310s_10percent,3,16,12,39,10,5,0.625,0.037,0.041
with-fail,cenario1_tempo_fixo/310s_10percent,4,14,12,49,11,3,0.7857,0.0347,0.0395
with-fail,cenario1_tempo_fixo/310s_10percent,5,12,12,55,11,1,0.9167,0.0135,0.014
with-fail,cenario1_tempo_fixo/310s_10percent,6,11,11,46,11,0,1.0,0.0223,0.023
with-fail,cenario1_tempo_fixo/310s_10percent,7,13,12,57,11,2,0.8462,0.0401,0.041
with-fail,cenario1_tempo_fixo/310s_10percent,8,11,11,64,11,0,1.0,0.0151,0.012
with-fail,cenario1_tempo_fixo/310s_10percent,9,11,11,74,11,0,1.0,0.0242,0.023
with-fail,cenario1_tempo_fixo/310s_10percent,10,16,12,43,10,5,0.625,0.0298,0.023
with-fail,cenario1_tempo_fixo/310s_10percent,11,27,12,52,8,18,0.2963,0.0422,0.0375
with-fail,cenario1_tempo_fixo/310s_10percent,12,21,12,50,9,11,0.4286,0.0206,0.0145
with-fail,cenario1_tempo_fixo/310s_10percent,13,27,12,46,8,18,0.2963,0.0331,0.035
with-fail,cenario1_tempo_fixo/310s_10percent,14,11,11,33,11,0,1.0,0.0143,0.014
with-fail,cenario1_tempo_fixo/310s_10percent,15,21,12,43,9,11,0.4286,0.6534,0.0235
with-fail,cenario1_tempo_fixo/310s_10percent,16,16,12,32,10,5,0.625,0.0479,0.053
with-fail,cenario1_tempo_fixo/310s_10percent,17,27,10,47,8,18,0.2963,0.0326,0.022
with-fail,cenario1_tempo_fixo/310s_10percent,18,21,12,49,9,11,0.4286,0.023,0.007
with-fail,cenario1_tempo_fixo/310s_10percent,19,21,11,46,9,11,0.4286,0.0197,0.019
with-fail,cenario1_tempo_fixo/310s_10percent,20,11,11,48,11,0,1.0,0.0214,0.015
with-fail,cenario1_tempo_fixo/310s_10percent,21,12,12,37,11,1,0.9167,0.0136,0.0075
with-fail,cenario1_tempo_fixo/310s_10percent,22,12,12,39,11,1,0.9167,0.0453,0.038
with-fail,cenario1_tempo_fixo/310s_10percent,23,16,12,46,10,5,0.625,0.0274,0.013
with-fail,cenario1_tempo_fixo/310s_10percent,24,12,12,40,11,1,0.9167,0.0377,0.0395
with-fail,cenario1_tempo_fixo/310s_10percent,25,21,11,45,9,11,0.4286,0.0159,0.006
with-fail,cenario1_tempo_fixo/310s_10percent,26,18,12,53,10,8,0.5556,0.0276,0.024
with-fail,cenario1_tempo_fixo/310s_10percent,27,27,12,45,8,18,0.2963,0.0246,0.021
with-fail,cenario1_tempo_fixo/310s_10percent,28,17,12,40,10,7,0.5882,0.0239,0.02
with-fail,cenario1_tempo_fixo/310s_10percent,29,16,12,40,10,5,0.625,0.0242,0.0225
with-fail,cenario1_tempo_fixo/310s_10percent,30,16,12,39,10,5,0.625,0.0264,0.024
with-fail,cenario1_tempo_fixo/310s_10percent,31,11,11,50,11,0,1.0,0.1135,0.016
with-fail,cenario1_tempo_fixo/310s_10percent,32,16,12,39,10,6,0.625,0.0294,0.014
with-fail,cenario1_tempo_fixo/310s_10percent,33,21,12,40,9,11,0.4286,0.0261,0.014
with-fail,cenario1_tempo_fixo/310s_10percent,34,16,12,34,10,5,0.625,0.0478,0.052
with-fail,cenario1_tempo_fixo/310s_10percent,35,16,12,36,10,5,0.625,0.0272,0.022
with-fail,cenario1_tempo_fixo/310s_20percent,1,21,12,44,9,11,0.4286,0.0277,0.01
with-fail,cenario1_tempo_fixo/310s_20percent,2,16,12,52,10,5,0.625,0.0217,0.0155
with-fail,cenario1_tempo_fixo/310s_20percent,3,32,12,51,7,24,0.2188,0.0256,0.021
with-fail,cenario1_tempo_fixo/310s_20percent,4,32,12,41,7,24,0.2188,0.0351,0.033
with-fail,cenario1_tempo_fixo/310s_20percent,5,32,12,49,7,24,0.2188,0.0209,0.023
with-fail,cenario1_tempo_fixo/310s_20percent,6,16,12,42,10,6,0.625,0.0232,0.019
with-fail,cenario1_tempo_fixo/310s_20percent,7,14,12,50,11,3,0.7857,0.0206,0.0145
with-fail,cenario1_tempo_fixo/310s_20percent,8,12,12,35,11,1,0.9167,0.0293,0.021
with-fail,cenario1_tempo_fixo/310s_20percent,9,16,12,31,10,5,0.625,0.0379,0.032
with-fail,cenario1_tempo_fixo/310s_20percent,10,13,12,49,11,2,0.8462,0.0314,0.033
with-fail,cenario1_tempo_fixo/310s_20percent,11,16,12,38,10,5,0.625,0.0482,0.0535
with-fail,cenario1_tempo_fixo/310s_20percent,12,16,12,42,10,5,0.625,0.0527,0.041
with-fail,cenario1_tempo_fixo/310s_20percent,13,16,12,38,10,5,0.625,0.0294,0.024
with-fail,cenario1_tempo_fixo/310s_20percent,14,16,12,51,10,5,0.625,0.0248,0.025
with-fail,cenario1_tempo_fixo/310s_20percent,15,21,12,53,9,11,0.4286,0.0297,0.018
with-fail,cenario1_tempo_fixo/310s_20percent,16,16,12,37,10,5,0.625,0.0435,0.0515
with-fail,cenario1_tempo_fixo/310s_20percent,17,12,12,41,11,1,0.9167,0.0213,0.014
with-fail,cenario1_tempo_fixo/310s_20percent,18,27,12,53,8,18,0.2963,0.0606,0.0515
with-fail,cenario1_tempo_fixo/310s_20percent,19,22,11,37,9,13,0.4091,0.0261,0.014
with-fail,cenario1_tempo_fixo/310s_20percent,20,12,12,58,11,1,0.9167,0.0278,0.0145
with-fail,cenario1_tempo_fixo/310s_20percent,21,11,11,33,11,0,1.0,0.0089,0.007
with-fail,cenario1_tempo_fixo/310s_20percent,22,12,12,56,11,1,0.9167,0.0269,0.0215
with-fail,cenario1_tempo_fixo/310s_20percent,23,27,12,47,8,18,0.2963,0.035,0.019
with-fail,cenario1_tempo_fixo/310s_20percent,24,37,12,65,6,30,0.1622,0.014,0.009
