approach,scenario,run,tasks_dispatched,tasks_accepted,total_acceptances,tasks_quorum_ok,tasks_quorum_fail,task_success_rate,avg_accept_latency_s,median_accept_latency_s
rl1,cenario2_tempo_aleatorio/180-600s_20percent,11,12,12,45,11,1,0.9167,0.0427,0.041
rl1,cenario2_tempo_aleatorio/180-600s_20percent,12,12,12,42,11,1,0.9167,0.0308,0.0215
rl1,cenario2_tempo_aleatorio/180-600s_20percent,13,24,12,53,9,15,0.375,0.0355,0.0395
rl1,cenario2_tempo_aleatorio/180-600s_20percent,14,14,12,44,11,3,0.7857,0.0178,0.0135
rl1,cenario2_tempo_aleatorio/180-600s_20percent,15,16,12,42,10,5,0.625,0.037,0.0435
rl1,cenario2_tempo_aleatorio/180-600s_20percent,16,16,12,38,10,5,0.625,0.0254,0.02
rl1,cenario2_tempo_aleatorio/180-600s_20percent,17,12,12,55,11,1,0.9167,0.0232,0.0255
rl1,cenario2_tempo_aleatorio/180-600s_20percent,18,12,12,49,11,1,0.9167,0.0391,0.036
rl1,cenario2_tempo_aleatorio/180-600s_20percent,19,16,12,33,10,5,0.625,0.0168,0.019
rl1,cenario2_tempo_aleatorio/180-600s_20percent,20,12,12,40,11,1,0.9167,0.0425,0.0215
rl1,cenario2_tempo_aleatorio/180-600s_20percent,21,12,12,39,11,1,0.9167,0.0424,0.0305
rl1,cenario2_tempo_aleatorio/180-600s_20percent,22,27,11,37,8,18,0.2963,0.0256,0.017
rl1,cenario2_tempo_aleatorio/180-600s_20percent,23,27,11,34,8,18,0.2963,0.0416,0.0465
rl1,cenario2_tempo_aleatorio/180-600s_20percent,24,12,12,43,11,1,0.9167,0.0381,0.0345
rl1,cenario2_tempo_aleatorio/180-600s_20percent,25,12,12,39,11,1,0.9167,0.0345,0.034
rl1,cenario2_tempo_aleatorio/180-600s_20percent,26,21,12,62,9,11,0.4286,0.0193,0.017
rl1,cenario2_tempo_aleatorio/180-600s_20percent,27,16,12,38,10,5,0.625,0.0155,0.013
rl1,cenario2_tempo_aleatorio/180-600s_20percent,28,32,12,49,7,24,0.2188,0.0353,0.024
rl1,cenario2_tempo_aleatorio/180-600s_20percent,29,16,11,53,10,5,0.625,0.0239,0.021
rl1,cenario2_tempo_aleatorio/180-600s_20percent,30,21,12,44,9,11,0.4286,0.0219,0.02
rl1,cenario2_tempo_aleatorio/180-600s_20percent,31,16,12,41,10,5,0.625,0.0172,0.016
rl1,cenario2_tempo_aleatorio/180-600s_20percent,32,37,12,30,6,30,0.1622,0.0205,0.0185
rl1,cenario2_tempo_aleatorio/180-600s_20percent,33,27,11,43,8,18,0.2963,0.0285,0.0175
rl1,cenario2_tempo_aleatorio/180-600s_20percent,34,12,12,38,11,1,0.9167,0.0207,0.0255
rl1,cenario2_tempo_aleatorio/180-600s_20percent,35,11,11,54,11,0,1.0,0.0121,0.011
rl1,cenario2_tempo_aleatorio/180-600s_30percent,1,16,12,33,10,5,0.625,0.0089,0.0075
rl1,cenario2_tempo_aleatorio/180-600s_30percent,2,16,12,54,10,5,0.625,0.022,0.0135
rl1,cenario2_tempo_aleatorio/180-600s_30percent,3,21,12,67,9,11,0.4286,0.6046,0.019
rl1,cenario2_tempo_aleatorio/180-600s_30percent,4,32,12,47,7,24,0.2188,0.0206,0.023
rl1,cenario2_tempo_aleatorio/180-600s_30percent,5,11,11,42,11,0,1.0,0.0492,0.026
rl1,cenario2_tempo_aleatorio/180-600s_30percent,6,16,12,44,10,5,0.625,0.0361,0.029
rl1,cenario2_tempo_aleatorio/180-600s_30percent,7,11,11,41,11,0,1.0,0.0175,0.019
rl1,cenario2_tempo_aleatorio/180-600s_30percent,8,32,11,38,7,24,0.2188,0.015,0.011
rl1,cenario2_tempo_aleatorio/180-600s_30percent,9,16,12,43,10,5,0.625,0.0309,0.0155
rl1,cenario2_tempo_aleatorio/180-600s_30percent,10,14,12,35,11,3,0.7857,0.026,0.0175
rl1,cenario2_tempo_aleatorio/180-600s_30percent,11,12,12,58,11,1,0.9167,0.0127,0.0125
rl1,cenario2_tempo_aleatorio/180-600s_30percent,12,27,12,60,8,19,0.2963,0.0144,0.012
rl1,cenario2_tempo_aleatorio/180-600s_30percent,13,21,12,41,9,11,0.4286,0.0356,0.0405
rl1,cenario2_tempo_aleatorio/180-600s_30percent,14,16,12,42,10,5,0.625,0.0123,0.015
rl1,cenario2_tempo_aleatorio/180-600s_30percent,15,21,12,48,9,11,0.4286,0.0147,0.013
rl1,cenario2_tempo_aleatorio/180-600s_30percent,16,11,11,68,11,0,1.0,0.0174,0.017
rl1,cenario2_tempo_aleatorio/180-600s_30percent,17,27,11,53,8,18,0.2963,0.0264,0.0235
rl1,cenario2_tempo_aleatorio/180-600s_30percent,18,21,10,32,9,11,0.4286,0.0241,0.016
rl1,cenario2_tempo_aleatorio/180-600s_30percent,19,32,8,26,7,24,0.2188,0.036,0.031
rl1,cenario2_tempo_aleatorio/180-600s_30percent,20,12,12,33,11,1,0.9167,0.0153,0.0155
rl1,cenario2_tempo_aleatorio/180-600s_30percent,21,12,12,39,11,1,0.9167,0.0247,0.0125
rl1,cenario2_tempo_aleatorio/180-600s_30percent,22,11,11,45,11,0,1.0,0.0351,0.032
rl1,cenario2_tempo_aleatorio/180-600s_30percent,23,16,12,34,10,5,0.625,0.0097,0.007
rl1,cenario2_tempo_aleatorio/180-600s_30percent,24,27,12,49,8,18,0.2963,0.0245,0.0145
rl1,cenario2_tempo_aleatorio/180-600s_30percent,25,16,12,45,10,5,0.625,0.0401,0.028
rl1,cenario2_tempo_aleatorio/180-600s_30percent,26,21,12,41,9,11,0.4286,0.0202,0.015
rl1,cenario2_tempo_aleatorio/180-600s_30percent,27,11,11,44,11,0,1.0,0.0331,0.043
rl1,cenario2_tempo_aleatorio/180-600s_30percent,28,11,11,44,11,0,1.0,0.0135,0.012
rl1,cenario2_tempo_aleatorio/180-600s_30percent,29,13,12,41,11,2,0.8462,0.0184,0.018
rl1,cenario2_tempo_aleatorio/180-600s_30percent,30,11,11,42,11,0,1.0,0.0361,0.019
rl1,cenario2_tempo_aleatorio/180-600s_30percent,31,27,12,54,8,18,0.2963,0.0143,0.014
rl1,cenario2_tempo_aleatorio/180-600s_30percent,32,11,11,45,11,0,1.0,0.0256,0.013
rl1,cenario2_tempo_aleatorio/180-600s_30percent,33,11,11,42,11,0,1.0,0.0175,0.017
rl1,cenario2_tempo_aleatorio/180-600s_30percent,34,21,12,38,9,11,0.4286,0.0246,0.023
rl1,cenario2_tempo_aleatorio/180-600s_30percent,35,32,12,56,7,24,0.2188,0.0126,0.01
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,1,27,12,47,8,18,0.2963,0.0356,0.0285
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,2,11,11,53,11,0,1.0,0.045,0.054
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,3,16,12,43,10,5,0.625,0.0089,0.0075
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,4,37,12,39,6,30,0.1622,0.0322,0.0165
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,5,21,11,34,9,11,0.4286,0.0204,0.019
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,6,16,12,38,10,5,0.625,0.0511,0.0325
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,7,43,12,65,5,37,0.1163,0.0364,0.037
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,8,12,12,48,11,1,0.9167,0.4529,0.0385
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,9,12,12,45,11,1,0.9167,0.0247,0.014
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,10,21,12,39,9,11,0.4286,0.0221,0.019
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,11,21,12,62,9,11,0.4286,0.0229,0.01
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,12,12,12,50,11,1,0.9167,0.0178,0.016
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,13,12,11,35,11,1,0.9167,0.0176,0.013
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,14,12,12,56,11,1,0.9167,0.0183,0.0175
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,15,16,12,44,10,5,0.625,0.0274,0.0175
