approach,scenario,run,state,state_name,action,action_name,qvalue
rl1,cenario1_tempo_fixo/310s_10percent,28,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,-0.5
rl1,cenario1_tempo_fixo/310s_10percent,28,0,SIMILARITY_MEDIUM,1,ALLOCATE,10.4662
rl1,cenario1_tempo_fixo/310s_10percent,28,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,78.8128
rl1,cenario1_tempo_fixo/310s_10percent,28,1,SIMILARITY_HIGH,1,ALLOCATE,99.3938
rl1,cenario1_tempo_fixo/310s_10percent,29,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,-0.5
rl1,cenario1_tempo_fixo/310s_10percent,29,0,SIMILARITY_MEDIUM,1,ALLOCATE,10.4662
rl1,cenario1_tempo_fixo/310s_10percent,29,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,78.8128
rl1,cenario1_tempo_fixo/310s_10percent,29,1,SIMILARITY_HIGH,1,ALLOCATE,99.5285
rl1,cenario1_tempo_fixo/310s_10percent,30,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,-0.5
rl1,cenario1_tempo_fixo/310s_10percent,30,0,SIMILARITY_MEDIUM,1,ALLOCATE,10.4662
rl1,cenario1_tempo_fixo/310s_10percent,30,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,78.8128
rl1,cenario1_tempo_fixo/310s_10percent,30,1,SIMILARITY_HIGH,1,ALLOCATE,99.6406
rl1,cenario1_tempo_fixo/310s_10percent,31,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,-0.5
rl1,cenario1_tempo_fixo/310s_10percent,31,0,SIMILARITY_MEDIUM,1,ALLOCATE,10.4662
rl1,cenario1_tempo_fixo/310s_10percent,31,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,79.9291
rl1,cenario1_tempo_fixo/310s_10percent,31,1,SIMILARITY_HIGH,1,ALLOCATE,99.694
rl1,cenario1_tempo_fixo/310s_10percent,32,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,-0.5
rl1,cenario1_tempo_fixo/310s_10percent,32,0,SIMILARITY_MEDIUM,1,ALLOCATE,10.4662
rl1,cenario1_tempo_fixo/310s_10percent,32,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,80.4127
rl1,cenario1_tempo_fixo/310s_10percent,32,1,SIMILARITY_HIGH,1,ALLOCATE,99.7472
rl1,cenario1_tempo_fixo/310s_10percent,33,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,-0.008042
rl1,cenario1_tempo_fixo/310s_10percent,33,0,SIMILARITY_MEDIUM,1,ALLOCATE,15.7057
rl1,cenario1_tempo_fixo/310s_10percent,33,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,80.4127
rl1,cenario1_tempo_fixo/310s_10percent,33,1,SIMILARITY_HIGH,1,ALLOCATE,99.7472
rl1,cenario1_tempo_fixo/310s_10percent,34,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,-0.008042
rl1,cenario1_tempo_fixo/310s_10percent,34,0,SIMILARITY_MEDIUM,1,ALLOCATE,15.7057
rl1,cenario1_tempo_fixo/310s_10percent,34,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,81.2472
rl1,cenario1_tempo_fixo/310s_10percent,34,1,SIMILARITY_HIGH,1,ALLOCATE,99.8111
rl1,cenario1_tempo_fixo/310s_10percent,35,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,-0.008042
rl1,cenario1_tempo_fixo/310s_10percent,35,0,SIMILARITY_MEDIUM,1,ALLOCATE,15.7057
rl1,cenario1_tempo_fixo/310s_10percent,35,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,81.6081
rl1,cenario1_tempo_fixo/310s_10percent,35,1,SIMILARITY_HIGH,1,ALLOCATE,99.8516
rl1,cenario1_tempo_fixo/310s_20percent,1,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,-0.276192
rl1,cenario1_tempo_fixo/310s_20percent,1,0,SIMILARITY_MEDIUM,1,ALLOCATE,3.9404
