approach,scenario,run,total_clusters,clusters_apt,clusters_idle,orphan_total,orphan_percentage
intuitive,cenario1_tempo_fixo/310s_10percent,8,19,11,8,20,10.0
intuitive,cenario1_tempo_fixo/310s_10percent,9,21,15,6,21,10.5
intuitive,cenario1_tempo_fixo/310s_10percent,10,20,8,12,11,5.5
intuitive,cenario1_tempo_fixo/310s_10percent,11,69,43,26,33,16.5
intuitive,cenario1_tempo_fixo/310s_10percent,12,18,10,8,23,11.5
intuitive,cenario1_tempo_fixo/310s_10percent,13,18,9,9,8,4.0
intuitive,cenario1_tempo_fixo/310s_10percent,14,14,9,5,23,11.5
intuitive,cenario1_tempo_fixo/310s_10percent,15,15,11,4,19,9.5
intuitive,cenario1_tempo_fixo/310s_10percent,16,18,10,8,11,5.5
intuitive,cenario1_tempo_fixo/310s_10percent,17,17,10,7,26,13.0
intuitive,cenario1_tempo_fixo/310s_10percent,18,12,8,4,18,9.0
intuitive,cenario1_tempo_fixo/310s_10percent,19,16,10,6,18,9.0
intuitive,cenario1_tempo_fixo/310s_10percent,20,27,14,13,23,11.5
intuitive,cenario1_tempo_fixo/310s_10percent,21,23,10,13,11,5.5
intuitive,cenario1_tempo_fixo/310s_10percent,22,21,11,10,26,13.0
intuitive,cenario1_tempo_fixo/310s_10percent,23,15,9,6,6,3.0
intuitive,cenario1_tempo_fixo/310s_10percent,24,15,13,2,12,6.0
intuitive,cenario1_tempo_fixo/310s_10percent,25,15,8,7,7,3.5
intuitive,cenario1_tempo_fixo/310s_10percent,26,15,10,5,18,9.0
intuitive,cenario1_tempo_fixo/310s_10percent,27,18,10,8,17,8.5
intuitive,cenario1_tempo_fixo/310s_10percent,28,97,78,19,81,40.5
intuitive,cenario1_tempo_fixo/310s_10percent,29,16,12,4,15,7.5
intuitive,cenario1_tempo_fixo/310s_10percent,30,15,11,4,20,10.0
intuitive,cenario1_tempo_fixo/310s_10percent,31,16,13,3,37,18.5
intuitive,cenario1_tempo_fixo/310s_10percent,32,19,12,7,16,8.0
intuitive,cenario1_tempo_fixo/310s_10percent,33,15,8,7,21,10.5
intuitive,cenario1_tempo_fixo/310s_10percent,34,98,76,22,93,46.5
intuitive,cenario1_tempo_fixo/310s_10percent,35,16,7,9,28,14.0
intuitive,cenario1_tempo_fixo/310s_20percent,1,20,12,8,20,10.0
intuitive,cenario1_tempo_fixo/310s_20percent,2,20,12,8,26,13.0
intuitive,cenario1_tempo_fixo/310s_20percent,3,14,7,7,18,9.0
intuitive,cenario1_tempo_fixo/310s_20percent,4,22,10,12,46,23.0
intuitive,cenario1_tempo_fixo/310s_20percent,5,15,12,3,26,13.0
intuitive,cenario1_tempo_fixo/310s_20percent,6,43,33,10,68,34.0
intuitive,cenario1_tempo_fixo/310s_20percent,7,17,12,5,27,13.5
intuitive,cenario1_tempo_fixo/310s_20percent,8,15,9,6,8,4.0
intuitive,cenario1_tempo_fixo/310s_20percent,9,19,13,6,28,14.0
intuitive,cenario1_tempo_fixo/310s_20percent,10,18,6,12,20,10.0
intuitive,cenario1_tempo_fixo/310s_20percent,11,64,48,16,140,70.0
intuitive,cenario1_tempo_fixo/310s_20percent,12,17,7,10,18,9.0
intuitive,cenario1_tempo_fixo/310s_20percent,13,22,12,10,46,23.0
intuitive,cenario1_tempo_fixo/310s_20percent,14,13,9,4,26,13.0
intuitive,cenario1_tempo_fixo/310s_20percent,15,14,11,3,46,23.0
intuitive,cenario1_tempo_fixo/310s_20percent,16,21,10,11,28,14.0
intuitive,cenario1_tempo_fixo/310s_20percent,17,21,15,6,33,16.5
intuitive,cenario1_tempo_fixo/310s_20percent,18,16,9,7,32,16.0
intuitive,cenario1_tempo_fixo/310s_20percent,19,17,11,6,9,4.5
intuitive,cenario1_tempo_fixo/310s_20percent,20,18,6,12,25,12.5
intuitive,cenario1_tempo_fixo/310s_20percent,21,16,10,6,26,13.0
intuitive,cenario1_tempo_fixo/310s_20percent,22,20,12,8,42,21.0
intuitive,cenario1_tempo_fixo/310s_20percent,23,13,9,4,25,12.5
intuitive,cenario1_tempo_fixo/310s_20percent,24,19,11,8,39,19.5
intuitive,cenario1_tempo_fixo/310s_20percent,25,18,14,4,25,12.5
intuitive,cenario1_tempo_fixo/310s_20percent,26,21,12,9,13,6.5
intuitive,cenario1_tempo_fixo/310s_20percent,27,17,9,8,50,25.0
intuitive,cenario1_tempo_fixo/310s_20percent,28,84,65,19,155,77.5
intuitive,cenario1_tempo_fixo/310s_20percent,29,14,8,6,43,21.5
intuitive,cenario1_tempo_fixo/310s_20percent,30,16,9,7,22,11.0
intuitive,cenario1_tempo_fixo/310s_20percent,31,20,11,9,47,23.5
intuitive,cenario1_tempo_fixo/310s_20percent,32,17,14,3,35,17.5
intuitive,cenario1_tempo_fixo/310s_20percent,33,14,10,4,5,2.5
intuitive,cenario1_tempo_fixo/310s_20percent,34,16,14,2,32,16.0
intuitive,cenario1_tempo_fixo/310s_20percent,35,23,13,10,34,17.0
intuitive,cenario1_tempo_fixo/310s_30percent,1,25,22,3,105,52.5
intuitive,cenario1_tempo_fixo/310s_30percent,2,19,10,9,17,8.5
intuitive,cenario1_tempo_fixo/310s_30percent,3,15,9,6,39,19.5
intuitive,cenario1_tempo_fixo/310s_30percent,4,22,18,4,63,31.5
intuitive,cenario1_tempo_fixo/310s_30percent,5,23,15,8,77,38.5
intuitive,cenario1_tempo_fixo/310s_30percent,6,45,28,17,44,22.0
intuitive,cenario1_tempo_fixo/310s_30percent,7,18,12,6,51,25.5
intuitive,cenario1_tempo_fixo/310s_30percent,8,21,12,9,62,31.0
intuitive,cenario1_tempo_fixo/310s_30percent,9,19,12,7,59,29.5
intuitive,cenario1_tempo_fixo/310s_30percent,10,18,12,6,47,23.5
intuitive,cenario1_tempo_fixo/310s_30percent,11,88,47,41,292,146.0
intuitive,cenario1_tempo_fixo/310s_30percent,12,22,10,12,36,18.0
intuitive,cenario1_tempo_fixo/310s_30percent,13,27,22,5,60,30.0
intuitive,cenario1_tempo_fixo/310s_30percent,14,14,6,8,40,20.0
intuitive,cenario1_tempo_fixo/310s_30percent,15,15,11,4,51,25.5
intuitive,cenario1_tempo_fixo/310s_30percent,16,16,8,8,22,11.0
intuitive,cenario1_tempo_fixo/310s_30percent,17,18,10,8,37,18.5
intuitive,cenario1_tempo_fixo/310s_30percent,18,17,15,2,62,31.0
intuitive,cenario1_tempo_fixo/310s_30percent,19,20,9,11,44,22.0
intuitive,cenario1_tempo_fixo/310s_30percent,20,23,14,9,62,31.0
intuitive,cenario1_tempo_fixo/310s_30percent,21,15,8,7,64,32.0
intuitive,cenario1_tempo_fixo/310s_30percent,22,15,14,1,79,39.5
intuitive,cenario1_tempo_fixo/310s_30percent,23,23,11,12,50,25.0
intuitive,cenario1_tempo_fixo/310s_30percent,24,21,15,6,70,35.0
intuitive,cenario1_tempo_fixo/310s_30percent,25,24,20,4,37,18.5
intuitive,cenario1_tempo_fixo/310s_30percent,26,18,11,7,77,38.5
intuitive,cenario1_tempo_fixo/310s_30percent,27,23,18,5,30,15.0
intuitive,cenario1_tempo_fixo/310s_30percent,28,103,84,19,342,171.0
intuitive,cenario1_tempo_fixo/310s_30percent,29,17,14,3,57,28.5
intuitive,cenario1_tempo_fixo/310s_30percent,30,17,10,7,53,26.5
intuitive,cenario1_tempo_fixo/310s_30percent,31,18,11,7,55,27.5
intuitive,cenario1_tempo_fixo/310s_30percent,32,12,9,3,51,25.5
intuitive,cenario1_tempo_fixo/310s_30percent,33,19,8,11,33,16.5
intuitive,cenario1_tempo_fixo/310s_30percent,34,15,7,8,42,21.0
intuitive,cenario1_tempo_fixo/310s_30percent,35,16,10,6,25,12.5
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,1,19,11,8,7,3.5
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,2,17,11,6,15,7.5
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,3,16,11,5,14,7.0
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,4,28,20,8,46,23.0
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,5,18,13,5,23,11.5
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,6,43,36,7,60,30.0
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,7,21,15,6,23,11.5
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,8,22,11,11,17,8.5
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,9,23,15,8,44,22.0
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,10,15,11,4,17,8.5
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,11,78,68,10,90,45.0
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,12,21,15,6,34,17.0
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,13,19,13,6,37,18.5
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,14,17,14,3,20,10.0
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,15,13,6,7,24,12.0
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,16,16,11,5,11,5.5
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,17,16,12,4,45,22.5
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,18,17,12,5,33,16.5
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,19,19,10,9,20,10.0
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,20,17,7,10,24,12.0
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,21,22,13,9,23,11.5
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,22,21,16,5,8,4.0
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,23,16,10,6,24,12.0
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,24,19,14,5,33,16.5
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,25,15,7,8,19,9.5
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,26,20,12,8,23,11.5
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,27,18,12,6,13,6.5
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,28,128,98,30,167,83.5
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,29,16,8,8,18,9.0
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,30,13,5,8,10,5.0
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,31,20,7,13,20,10.0
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,32,14,10,4,16,8.0
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,33,15,10,5,24,12.0
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,34,15,9,6,9,4.5
intuitive,cenario2_tempo_aleatorio/180-600s_10percent,35,16,7,9,6,3.0
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,1,15,12,3,41,20.5
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,2,16,9,7,43,21.5
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,3,20,14,6,50,25.0
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,4,17,10,7,40,20.0
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,5,21,14,7,39,19.5
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,6,40,33,7,79,39.5
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,7,19,11,8,44,22.0
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,8,19,7,12,13,6.5
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,9,21,13,8,30,15.0
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,10,15,11,4,30,15.0
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,11,76,52,24,60,30.0
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,12,17,9,8,20,10.0
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,13,23,13,10,41,20.5
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,14,18,12,6,25,12.5
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,15,15,8,7,52,26.0
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,16,17,5,12,19,9.5
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,17,21,10,11,22,11.0
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,18,15,14,1,21,10.5
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,19,17,11,6,51,25.5
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,20,14,8,6,21,10.5
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,21,20,12,8,49,24.5
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,22,23,12,11,23,11.5
intuitive,cenario2_tempo_aleatorio/180-600s_20percent,23,23,17,6,41,20.5
